COUNTRY,Country,SEX,Gender,EDUCATION_FIELD,Field,EDUCATION_LEV,Education level,MOBILITY,Mobility,YEAR,Year,Value,Flag Codes,Flags
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,61188,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,67096,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,73447,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,80094,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,85613,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,47666,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,47696,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,46934,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,53411,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,56570,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,109818,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,114454,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,118228,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,120666,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,117976,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,140723,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,147712,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,153621,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,160660,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,158220,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,49536,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,47431,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,44906,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,41998,,
USA,United States,M,Male,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,41334,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,32806,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,32079,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,31361,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,35397,,
USA,United States,M,Male,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,37190,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,37074,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,39824,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,42126,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,46848,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,48031,,
USA,United States,F,Female,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,15532,,
