"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","EDUCATION_LEV","Education level","MOBILITY","Mobility","YEAR","Year","Value","Flag Codes","Flags"
"SVN","Slovenia","F","Female","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",862,,
"SVN","Slovenia","M","Male","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",88,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",950,,
"SVN","Slovenia","F","Female","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",678,,
"SVN","Slovenia","M","Male","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",121,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",799,,
"SVN","Slovenia","F","Female","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",590,,
"SVN","Slovenia","M","Male","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",201,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",791,,
"SVN","Slovenia","F","Female","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",175,,
"SVN","Slovenia","M","Male","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",102,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",277,,
"SVN","Slovenia","F","Female","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",849,,
"SVN","Slovenia","M","Male","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",408,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1257,,
"SVN","Slovenia","F","Female","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",379,,
"SVN","Slovenia","M","Male","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",105,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",483,,
"SVN","Slovenia","F","Female","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1060,,
"SVN","Slovenia","M","Male","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",567,,
"SVN","Slovenia","_T","Total","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1627,,
"SVN","Slovenia","F","Female","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",748,,
"SVN","Slovenia","M","Male","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",446,,
"SVN","Slovenia","_T","Total","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1194,,
"SVN","Slovenia","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",355,,
"SVN","Slovenia","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",237,,
"SVN","Slovenia","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",592,,
"SVN","Slovenia","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",210,,
"SVN","Slovenia","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",137,,
"SVN","Slovenia","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",347,,
"SVN","Slovenia","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",82,,
"SVN","Slovenia","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",363,,
"SVN","Slovenia","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",445,,
"SVN","Slovenia","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",27,,
"SVN","Slovenia","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",88,,
