"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","MOBILITY","Country of citizenship","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"FRA","France","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",114341,,
"FRA","France","F","Female","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",5430,,
"FRA","France","_T","Total","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",11737,,
"FRA","France","M","Male","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"FRA","France","_T","Total","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"FRA","France","F","Female","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",29958,,
"FRA","France","M","Male","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",31528,,
"FRA","France","M","Male","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",7373,,
"FRA","France","M","Male","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"FRA","France","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",5247,,
"FRA","France","M","Male","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",26652,,
"FRA","France","F","Female","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",1350,,
"FRA","France","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",4557,,
"FRA","France","F","Female","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"FRA","France","M","Male","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"FRA","France","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",8105,,
"FRA","France","M","Male","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",32777,,
"FRA","France","_T","Total","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",40882,,
